id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario,cliente_fora_do_padrao,receita_total,mes,ano,mes_nome,trimestre,faixa_receita_item,receita_em_milhares,perfil_volume
98,2025-07-06,Cliente_047,Tablet,Celulares,Norte,8,1548.02,False,12384.16,7,2025,Julho,Q3,Alto Valor,12.38,Alto Volume
99,2025-05-20,Cliente_011,Tablet,Celulares,Nordeste,9,1800.97,False,16208.73,5,2025,Maio,Q2,Alto Valor,16.21,Alto Volume
100,2025-02-08,Cliente_010,Headset,Perifericos,Norte,2,346.67,False,693.34,2,2025,Fevereiro,Q1,Medio Valor,0.69,Baixo Volume
101,2025-01-08,Cliente_017,Tablet,Celulares,Nordeste,2,1956.97,False,3913.94,1,2025,Janeiro,Q1,Medio Valor,3.91,Baixo Volume
102,2025-11-14,Cliente_036,Notebook,Computadores,Nordeste,4,3470.05,False,13880.2,11,2025,Novembro,Q4,Alto Valor,13.88,Baixo Volume
103,2025-01-24,Cliente_003,Mouse,Perifericos,Centro-Oeste,7,106.2,False,743.4,1,2025,Janeiro,Q1,Medio Valor,0.74,Alto Volume
104,2025-03-21,Cliente_027,Tablet,Celulares,Nordeste,9,1756.33,False,15806.97,3,2025,Março,Q1,Alto Valor,15.81,Alto Volume
105,2025-05-01,Cliente_024,Smartphone,Celulares,Centro-Oeste,8,2163.5,False,17308.0,5,2025,Maio,Q2,Alto Valor,17.31,Alto Volume
107,2025-10-11,Cliente_014,Smartphone,Celulares,Norte,10,2005.44,False,20054.4,10,2025,Outubro,Q4,Alto Valor,20.05,Alto Volume
108,2025-03-16,Cliente_009,Notebook,Computadores,Nordeste,5,3876.33,False,19381.65,3,2025,Março,Q1,Alto Valor,19.38,Baixo Volume
109,2025-01-09,Cliente_012,Headset,Perifericos,Nordeste,4,359.33,True,1437.32,1,2025,Janeiro,Q1,Medio Valor,1.44,Baixo Volume
110,2025-09-15,Cliente_015,Teclado,Perifericos,Centro-Oeste,10,220.68,False,2206.8,9,2025,Setembro,Q3,Medio Valor,2.21,Alto Volume
111,2025-09-03,Cliente_026,Mouse,Perifericos,Nordeste,1,104.19,False,104.19,9,2025,Setembro,Q3,Baixo Valor,0.1,Baixo Volume
112,2025-05-21,Cliente_040,Teclado,Perifericos,Centro-Oeste,3,217.43,False,652.29,5,2025,Maio,Q2,Medio Valor,0.65,Baixo Volume
113,2025-12-26,Cliente_008,Teclado,Perifericos,Centro-Oeste,10,244.76,False,2447.6,12,2025,Dezembro,Q4,Medio Valor,2.45,Alto Volume
114,2025-08-21,Cliente_026,Smartphone,Celulares,Sul,7,2093.69,False,14655.83,8,2025,Agosto,Q3,Alto Valor,14.66,Alto Volume
115,2025-02-13,Cliente_006,Mouse,Perifericos,Sudeste,8,104.42,False,835.36,2,2025,Fevereiro,Q1,Medio Valor,0.84,Alto Volume
116,2025-08-05,Cliente_047,Monitor,Computadores,Sul,6,1334.5,False,8007.0,8,2025,Agosto,Q3,Alto Valor,8.01,Alto Volume
117,2025-02-25,Cliente_023,Mouse,Perifericos,Norte,8,110.07,False,880.56,2,2025,Fevereiro,Q1,Medio Valor,0.88,Alto Volume
119,2025-03-15,Cliente_037,Tablet,Celulares,Centro-Oeste,6,1533.3,True,9199.8,3,2025,Março,Q1,Alto Valor,9.2,Alto Volume
120,2025-07-09,Cliente_020,Monitor,Computadores,Norte,8,1142.72,True,9141.76,7,2025,Julho,Q3,Alto Valor,9.14,Alto Volume
121,2025-12-05,Cliente_028,Notebook,Computadores,Centro-Oeste,2,3260.71,False,6521.42,12,2025,Dezembro,Q4,Alto Valor,6.52,Baixo Volume
122,2025-10-31,Cliente_032,Notebook,Computadores,Nordeste,5,3687.13,True,18435.65,10,2025,Outubro,Q4,Alto Valor,18.44,Baixo Volume
123,2025-05-29,Cliente_021,Smartphone,Celulares,Sul,3,2374.35,False,7123.049999999999,5,2025,Maio,Q2,Alto Valor,7.12,Baixo Volume
124,2025-07-01,Cliente_005,Teclado,Perifericos,Norte,9,275.0,False,2475.0,7,2025,Julho,Q3,Medio Valor,2.48,Alto Volume
125,2025-11-24,Cliente_027,Monitor,Computadores,Centro-Oeste,10,1165.59,False,11655.9,11,2025,Novembro,Q4,Alto Valor,11.66,Alto Volume
126,2025-02-24,Cliente_016,Headset,Perifericos,Sul,6,306.75,False,1840.5,2,2025,Fevereiro,Q1,Medio Valor,1.84,Alto Volume
127,2025-11-21,Cliente_008,Tablet,Celulares,Sul,3,1571.24,False,4713.72,11,2025,Novembro,Q4,Medio Valor,4.71,Baixo Volume
128,2025-04-12,Cliente_012,Smartphone,Celulares,Centro-Oeste,2,1966.65,False,3933.3,4,2025,Abril,Q2,Medio Valor,3.93,Baixo Volume
129,2025-08-18,Cliente_044,Monitor,Computadores,Nordeste,10,1293.56,False,12935.599999999999,8,2025,Agosto,Q3,Alto Valor,12.94,Alto Volume
130,2025-08-15,Cliente_041,Smartphone,Celulares,Centro-Oeste,8,1915.07,False,15320.56,8,2025,Agosto,Q3,Alto Valor,15.32,Alto Volume
131,2025-05-27,Cliente_005,Notebook,Computadores,Norte,1,3362.17,False,3362.17,5,2025,Maio,Q2,Medio Valor,3.36,Baixo Volume
132,2025-10-20,Cliente_042,Teclado,Perifericos,Nordeste,1,246.23,False,246.23,10,2025,Outubro,Q4,Baixo Valor,0.25,Baixo Volume
133,2025-03-30,Cliente_003,Mouse,Perifericos,Nordeste,2,120.16,False,240.32,3,2025,Março,Q1,Baixo Valor,0.24,Baixo Volume
134,2025-06-23,Cliente_044,Tablet,Celulares,Nordeste,7,1750.74,True,12255.18,6,2025,Junho,Q2,Alto Valor,12.26,Alto Volume
135,2025-06-20,Cliente_006,Tablet,Celulares,Centro-Oeste,10,2001.57,False,20015.7,6,2025,Junho,Q2,Alto Valor,20.02,Alto Volume
136,2025-02-13,Cliente_020,Smartphone,Celulares,Norte,10,2337.83,False,23378.3,2,2025,Fevereiro,Q1,Alto Valor,23.38,Alto Volume
137,2025-01-10,Cliente_024,Notebook,Computadores,Sul,7,3508.91,False,24562.37,1,2025,Janeiro,Q1,Alto Valor,24.56,Alto Volume
138,2025-02-21,Cliente_033,Smartphone,Celulares,Norte,2,2065.22,False,4130.44,2,2025,Fevereiro,Q1,Medio Valor,4.13,Baixo Volume
139,2025-03-25,Cliente_012,Smartphone,Celulares,Centro-Oeste,10,2118.64,False,21186.399999999998,3,2025,Março,Q1,Alto Valor,21.19,Alto Volume
140,2025-11-09,Cliente_019,Tablet,Celulares,Centro-Oeste,4,2053.58,False,8214.32,11,2025,Novembro,Q4,Alto Valor,8.21,Baixo Volume
141,2025-10-20,Cliente_029,Headset,Perifericos,Sul,4,336.12,False,1344.48,10,2025,Outubro,Q4,Medio Valor,1.34,Baixo Volume
142,2025-05-09,Cliente_004,Headset,Perifericos,Sudeste,10,312.03,False,3120.2999999999997,5,2025,Maio,Q2,Medio Valor,3.12,Alto Volume
143,2025-05-20,Cliente_029,Tablet,Celulares,Centro-Oeste,2,1942.08,False,3884.16,5,2025,Maio,Q2,Medio Valor,3.88,Baixo Volume
144,2025-07-22,Cliente_033,Tablet,Celulares,Sudeste,1,1754.04,False,1754.04,7,2025,Julho,Q3,Medio Valor,1.75,Baixo Volume
145,2025-03-12,Cliente_003,Headset,Perifericos,Centro-Oeste,6,380.59,False,2283.54,3,2025,Março,Q1,Medio Valor,2.28,Alto Volume
146,2025-01-10,Cliente_017,Teclado,Perifericos,Nordeste,1,280.44,False,280.44,1,2025,Janeiro,Q1,Baixo Valor,0.28,Baixo Volume
147,2025-05-03,Cliente_027,Smartphone,Celulares,Norte,5,1950.42,False,9752.1,5,2025,Maio,Q2,Alto Valor,9.75,Baixo Volume
148,2025-03-15,Cliente_019,Notebook,Computadores,Sudeste,9,3578.8,False,32209.2,3,2025,Março,Q1,Alto Valor,32.21,Alto Volume
149,2025-09-27,Cliente_035,Teclado,Perifericos,Centro-Oeste,6,217.58,False,1305.48,9,2025,Setembro,Q3,Medio Valor,1.31,Alto Volume
150,2025-07-02,Cliente_005,Tablet,Celulares,Nordeste,5,1933.55,False,9667.75,7,2025,Julho,Q3,Alto Valor,9.67,Baixo Volume
151,2025-06-23,Cliente_042,Smartphone,Celulares,Sul,1,2102.52,False,2102.52,6,2025,Junho,Q2,Medio Valor,2.1,Baixo Volume
152,2025-04-14,Cliente_003,Notebook,Computadores,Norte,8,3013.83,False,24110.64,4,2025,Abril,Q2,Alto Valor,24.11,Alto Volume
153,2025-11-28,Cliente_013,Monitor,Computadores,Nordeste,5,1033.18,False,5165.900000000001,11,2025,Novembro,Q4,Alto Valor,5.17,Baixo Volume
154,2025-07-17,Cliente_022,Monitor,Computadores,Sudeste,7,1287.59,False,9013.13,7,2025,Julho,Q3,Alto Valor,9.01,Alto Volume
155,2025-11-05,Cliente_012,Mouse,Perifericos,Norte,7,104.84,False,733.88,11,2025,Novembro,Q4,Medio Valor,0.73,Alto Volume
156,2025-08-16,Cliente_023,Mouse,Perifericos,Sudeste,7,108.0,False,756.0,8,2025,Agosto,Q3,Medio Valor,0.76,Alto Volume
157,2025-12-14,Cliente_011,Notebook,Computadores,Sul,7,3356.48,True,23495.36,12,2025,Dezembro,Q4,Alto Valor,23.5,Alto Volume
158,2025-10-18,Cliente_003,Headset,Perifericos,Norte,6,335.53,False,2013.1799999999998,10,2025,Outubro,Q4,Medio Valor,2.01,Alto Volume
159,2025-06-10,Cliente_042,Smartphone,Celulares,Norte,9,2112.19,False,19009.71,6,2025,Junho,Q2,Alto Valor,19.01,Alto Volume
160,2025-12-27,Cliente_029,Notebook,Computadores,Sul,5,3788.71,False,18943.55,12,2025,Dezembro,Q4,Alto Valor,18.94,Baixo Volume
161,2025-08-16,Cliente_006,Headset,Perifericos,Norte,2,344.96,False,689.92,8,2025,Agosto,Q3,Medio Valor,0.69,Baixo Volume
162,2025-03-22,Cliente_046,Teclado,Perifericos,Sul,5,279.35,False,1396.75,3,2025,Março,Q1,Medio Valor,1.4,Baixo Volume
163,2025-09-10,Cliente_002,Headset,Perifericos,Sudeste,3,322.36,False,967.08,9,2025,Setembro,Q3,Medio Valor,0.97,Baixo Volume
164,2025-09-03,Cliente_034,Notebook,Computadores,Sudeste,5,3393.07,False,16965.350000000002,9,2025,Setembro,Q3,Alto Valor,16.97,Baixo Volume
165,2025-06-26,Cliente_009,Monitor,Computadores,Centro-Oeste,8,1264.84,False,10118.72,6,2025,Junho,Q2,Alto Valor,10.12,Alto Volume
166,2025-09-23,Cliente_010,Teclado,Perifericos,Norte,1,274.85,False,274.85,9,2025,Setembro,Q3,Baixo Valor,0.27,Baixo Volume
167,2025-11-22,Cliente_036,Tablet,Celulares,Norte,2,1665.33,False,3330.66,11,2025,Novembro,Q4,Medio Valor,3.33,Baixo Volume
168,2025-11-16,Cliente_047,Teclado,Perifericos,Sudeste,3,225.34,False,676.02,11,2025,Novembro,Q4,Medio Valor,0.68,Baixo Volume
169,2025-04-18,Cliente_050,Notebook,Computadores,Nordeste,10,3252.89,False,32528.899999999998,4,2025,Abril,Q2,Alto Valor,32.53,Alto Volume
170,2025-12-17,Cliente_026,Monitor,Computadores,Sul,4,1309.69,False,5238.76,12,2025,Dezembro,Q4,Alto Valor,5.24,Baixo Volume
171,2025-06-13,Cliente_047,Tablet,Celulares,Sudeste,10,1607.58,False,16075.8,6,2025,Junho,Q2,Alto Valor,16.08,Alto Volume
172,2025-05-17,Cliente_029,Tablet,Celulares,Sul,4,1781.9,False,7127.6,5,2025,Maio,Q2,Alto Valor,7.13,Baixo Volume
173,2025-10-23,Cliente_047,Headset,Perifericos,Nordeste,3,382.92,False,1148.76,10,2025,Outubro,Q4,Medio Valor,1.15,Baixo Volume
174,2025-07-21,Cliente_033,Monitor,Computadores,Norte,1,1052.42,False,1052.42,7,2025,Julho,Q3,Medio Valor,1.05,Baixo Volume
175,2025-01-05,Cliente_007,Headset,Perifericos,Centro-Oeste,8,327.5,False,2620.0,1,2025,Janeiro,Q1,Medio Valor,2.62,Alto Volume
176,2025-07-05,Cliente_036,Notebook,Computadores,Norte,10,3564.91,False,35649.1,7,2025,Julho,Q3,Alto Valor,35.65,Alto Volume
177,2025-02-19,Cliente_026,Mouse,Perifericos,Norte,10,106.28,False,1062.8,2,2025,Fevereiro,Q1,Medio Valor,1.06,Alto Volume
178,2025-01-24,Cliente_003,Teclado,Perifericos,Norte,7,250.01,False,1750.07,1,2025,Janeiro,Q1,Medio Valor,1.75,Alto Volume
179,2025-06-13,Cliente_011,Smartphone,Celulares,Norte,6,2484.7,False,14908.199999999999,6,2025,Junho,Q2,Alto Valor,14.91,Alto Volume
180,2025-06-03,Cliente_031,Teclado,Perifericos,Sudeste,8,265.66,False,2125.28,6,2025,Junho,Q2,Medio Valor,2.13,Alto Volume
181,2025-12-02,Cliente_050,Teclado,Perifericos,Norte,8,232.41,False,1859.28,12,2025,Dezembro,Q4,Medio Valor,1.86,Alto Volume
183,2025-11-10,Cliente_031,Monitor,Computadores,Nordeste,4,1167.74,False,4670.96,11,2025,Novembro,Q4,Medio Valor,4.67,Baixo Volume
184,2025-06-10,Cliente_012,Mouse,Perifericos,Nordeste,8,120.92,False,967.36,6,2025,Junho,Q2,Medio Valor,0.97,Alto Volume
185,2025-05-07,Cliente_018,Teclado,Perifericos,Sul,8,226.92,False,1815.36,5,2025,Maio,Q2,Medio Valor,1.82,Alto Volume
186,2025-06-28,Cliente_036,Mouse,Perifericos,Centro-Oeste,8,113.41,False,907.28,6,2025,Junho,Q2,Medio Valor,0.91,Alto Volume
188,2025-05-19,Cliente_036,Smartphone,Celulares,Norte,4,2416.45,False,9665.8,5,2025,Maio,Q2,Alto Valor,9.67,Baixo Volume
190,2025-04-13,Cliente_049,Monitor,Computadores,Norte,8,1191.88,True,9535.04,4,2025,Abril,Q2,Alto Valor,9.54,Alto Volume
191,2025-03-31,Cliente_027,Mouse,Perifericos,Centro-Oeste,1,134.88,False,134.88,3,2025,Março,Q1,Baixo Valor,0.13,Baixo Volume
192,2025-01-05,Cliente_020,Smartphone,Celulares,Norte,5,2448.65,False,12243.25,1,2025,Janeiro,Q1,Alto Valor,12.24,Baixo Volume
