id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario
85,2025-09-17,Cliente_018,Tablet,Celulares,Centro-Oeste,7,1713.53
86,2025-09-05,Cliente_023,Headset,Perifericos,Sul,3,344.39
87,2025-07-30,Cliente_003,Teclado,Perifericos,Sul,7,230.02
88,2025-10-30,Cliente_022,Monitor,Computadores,Sul,1,1065.45
89,2025-05-16,Cliente_022,Monitor,Computadores,Norte,3,1046.94
90,2025-09-07,Cliente_035,Monitor,Computadores,Sudeste,,1245.65
91,2025-12-27,Cliente_007,Monitor,Computadores,Nordeste,2,1293.73
92,2025-05-06,Cliente_034,Tablet,Celulares,Centro-Oeste,6,1762.57
93,2025-10-26,Cliente_010,Teclado,Perifericos,Centro-Oeste,4,249.83
94,2025-08-15,Cliente_023,Tablet,Celulares,Nordeste,9,1615.31
95,2025-02-24,cliente#016,Smartphone,Celulares,Nordeste,7,2433.2
96,2025-01-26,Cliente_039,Notebook,Computadores,Nordeste,10,3883.32
97,2025-12-14,Cliente_049,Smartphone,Celulares,Sudeste,4,2279.79
98,2025-07-06,Cliente_047,Tablet,Celulares,Norte,8,1548.02
99,2025-05-20,Cliente_011,Tablet,Celulares,Nordeste,9,1800.97
100,2025-02-08,Cliente_010,Headset,Perifericos,Norte,2,346.67
101,2025-01-08,Cliente_017,Tablet,Celulares,Nordeste,2,1956.97
102,2025-11-14,Cliente_036,Notebook,Computadores,Nordeste,4,3470.05
103,2025-01-24,Cliente_003,Mouse,Perifericos,Centro-Oeste,7,106.2
104,2025-03-21,Cliente_027,Tablet,Celulares,Nordeste,9,1756.33
105,2025-05-01,Cliente_024,Smartphone,Celulares,Centro-Oeste,8,2163.5
106,DATA INVALIDA,Cliente_006,Tablet,Celulares,Sul,4,2052.83
107,2025-10-11,Cliente_014,Smartphone,Celulares,Norte,10,2005.44
108,2025-03-16,Cliente_009,Notebook,Computadores,Nordeste,5,3876.33
109,2025-01-09,cliente#012,Headset,Perifericos,Nordeste,4,359.33
110,2025-09-15,Cliente_015,Teclado,Perifericos,Centro-Oeste,10,220.68
111,2025-09-03,Cliente_026,Mouse,Perifericos,Nordeste,1,104.19
112,2025-05-21,Cliente_040,Teclado,Perifericos,Centro-Oeste,3,217.43
113,2025-12-26,Cliente_008,Teclado,Perifericos,Centro-Oeste,10,244.76
114,2025-08-21,Cliente_026,Smartphone,Celulares,Sul,7,2093.69
115,2025-02-13, Cliente_006,Mouse,Perifericos,Sudeste,8,104.42
116,2025-08-05,Cliente_047,Monitor,Computadores,Sul,6,1334.5
117,2025-02-25,Cliente_023,Mouse,Perifericos,Norte,8,110.07
118,2025-11-26,Cliente_036,Headset,Perifericos,Nordeste,,361.93
119,2025-03-15,Cliente_037!!,Tablet,Celulares,Centro-Oeste,6,1533.3
120,2025-07-09,Cliente_020!!,Monitor,Computadores,Norte,8,1142.72
121,2025-12-05,Cliente_028,Notebook,Computadores,Centro-Oeste,2,3260.71
122,2025-10-31,Cliente_032!!,Notebook,Computadores,Nordeste,5,3687.13
123,2025-05-29,Cliente_021,Smartphone,Celulares,Sul,3,2374.35
124,2025-07-01, Cliente_005,Teclado,Perifericos,Norte,9,275.0
125,2025-11-24,Cliente_027,Monitor,Computadores,Centro-Oeste,10,1165.59
126,2025-02-24,Cliente_016,Headset,Perifericos,Sul,6,306.75
127,2025-11-21,Cliente_008,Tablet,Celulares,Sul,3,1571.24
128,2025-04-12,Cliente_012,Smartphone,Celulares,Centro-Oeste,2,1966.65
129,2025-08-18,Cliente_044,Monitor,Computadores,Nordeste,10,1293.56
130,2025-08-15,Cliente_041, Smartphone ,Celulares,Centro-Oeste,8,1915.07
131,2025-05-27,Cliente_005,Notebook,Computadores,Norte,1,3362.17
132,2025-10-20,Cliente_042,Teclado,Perifericos,Nordeste,1,246.23
133,2025-03-30,Cliente_003,Mouse,Perifericos,Nordeste,2,120.16
134,2025-06-23,cliente#044,Tablet,Celulares,Nordeste,7,1750.74
135,2025-06-20,Cliente_006,Tablet,Celulares,Centro-Oeste,10,2001.57
136,2025-02-13,Cliente_020,Smartphone,Celulares,Norte,10,2337.83
137,2025-01-10,Cliente_024,Notebook,Computadores,Sul,7,3508.91
138,2025-02-21,Cliente_033,Smartphone,Celulares,Norte,2,2065.22
139,2025-03-25,Cliente_012,Smartphone,Celulares,Centro-Oeste,10,2118.64
140,2025-11-09,Cliente_019,Tablet,Celulares,Centro-Oeste,4,2053.58
141,2025-10-20,Cliente_029,Headset,Perifericos,Sul,4,336.12
142,2025-05-09,Cliente_004,Headset,Perifericos,Sudeste,10,312.03
143,2025-05-20,Cliente_029,Tablet,Celulares,Centro-Oeste,2,1942.08
144,2025-07-22,Cliente_033,Tablet,Celulares,Sudeste,1,1754.04
145,2025-03-12,Cliente_003,Headset,Perifericos,Centro-Oeste,6,380.59
146,2025-01-10,Cliente_017,Teclado,Perifericos,Nordeste,1,280.44
147,2025-05-03,Cliente_027,Smartphone,Celulares,Norte,5,1950.42
148,2025-03-15,Cliente_019,Notebook,Computadores,Sudeste,9,3578.8
149,2025-09-27,Cliente_035,Teclado,Perifericos,Centro-Oeste,6,217.58
150,2025-07-02,Cliente_005,Tablet,Celulares,Nordeste,5,1933.55
151,2025-06-23,Cliente_042,Smartphone,Celulares,Sul,1,2102.52
152,2025-04-14,Cliente_003,Notebook,Computadores,Norte,8,3013.83
153,2025-11-28,Cliente_013, Monitor ,Computadores,Nordeste,5,1033.18
154,2025-07-17,Cliente_022,Monitor,Computadores,Sudeste,7,1287.59
155,2025-11-05,Cliente_012,Mouse,Perifericos,Norte,7,104.84
156,2025-08-16,Cliente_023,Mouse,Perifericos,Sudeste,7,108.0
157,2025-12-14,CLIENTE-011,Notebook,Computadores,Sul,7,3356.48
158,2025-10-18,Cliente_003,Headset,Perifericos,Norte,6,335.53
159,2025-06-10,Cliente_042, Smartphone ,Celulares,Norte,9,2112.19
160,2025-12-27,Cliente_029,Notebook,Computadores,Sul,5,3788.71
161,2025-08-16,Cliente_006,Headset,Perifericos,Norte,2,344.96
162,2025-03-22,Cliente_046,Teclado,Perifericos,Sul,5,279.35
163,2025-09-10,Cliente_002,Headset,Perifericos,Sudeste,3,322.36
164,2025-09-03,Cliente_034,Notebook,Computadores,Sudeste,5,3393.07
165,2025-06-26,Cliente_009,Monitor,Computadores,Centro-Oeste,8,1264.84
166,2025-09-23,Cliente_010,Teclado,Perifericos,Norte,1,274.85
167,2025-11-22,Cliente_036,Tablet,Celulares,Norte,2,1665.33
168,2025-11-16,Cliente_047,Teclado,Perifericos,Sudeste,3,225.34
169,2025-04-18,Cliente_050, Notebook ,Computadores,Nordeste,10,3252.89
170,2025-12-17,Cliente_026, Monitor ,Computadores,Sul,4,1309.69
171,2025-06-13,Cliente_047,Tablet,Celulares,Sudeste,10,1607.58
172,2025-05-17,Cliente_029,Tablet,Celulares,Sul,4,1781.9
173,2025-10-23,Cliente_047,Headset,Perifericos,Nordeste,3,382.92
174,2025-07-21,Cliente_033,Monitor,Computadores,Norte,1,1052.42
175,2025-01-05,Cliente_007,Headset,Perifericos,Centro-Oeste,8,327.5
176,2025-07-05,Cliente_036,Notebook,Computadores,Norte,10,3564.91
177,2025-02-19,Cliente_026,Mouse,Perifericos,Norte,10,106.28
178,2025-01-24,Cliente_003,Teclado,Perifericos,Norte,7,250.01
179,2025-06-13,Cliente_011,Smartphone,Celulares,Norte,6,2484.7
180,2025-06-03,Cliente_031,Teclado,Perifericos,Sudeste,8,265.66
181,2025-12-02,Cliente_050, Teclado ,Perifericos,Norte,8,232.41
182,DATA INVALIDA,Cliente_016,Headset,Perifericos,Sul,,313.02
183,2025-11-10,Cliente_031,Monitor,Computadores,Nordeste,4,1167.74
184,2025-06-10,Cliente_012,Mouse,Perifericos,Nordeste,8,120.92
185,2025-05-07,Cliente_018,Teclado,Perifericos,Sul,8,226.92
186,2025-06-28,Cliente_036,Mouse,Perifericos,Centro-Oeste,8,113.41
187,2025-03-16,Cliente_019,Monitor,Computadores,Centro-Oeste,,1363.66
188,2025-05-19,Cliente_036,Smartphone,Celulares,Norte,4,2416.45
189,DATA INVALIDA,Cliente_022,Smartphone,Celulares,Sul,4,1904.64
190,2025-04-13,Cliente_049!!,Monitor,Computadores,Norte,8,1191.88
191,2025-03-31,Cliente_027,Mouse,Perifericos,Centro-Oeste,1,134.88
192,2025-01-05,Cliente_020,Smartphone,Celulares,Norte,5,2448.65
193,2025-03-10,Cliente_033,Teclado,Perifericos,Nordeste,8,279.19
194,2025-06-22,Cliente_019,Mouse,Perifericos,Centro-Oeste,3,102.51
195,2025-12-09,Cliente_007,Teclado,Perifericos,Sul,6,219.01
196,2025-06-04,CLIENTE-038,Monitor,Computadores,Centro-Oeste,5,
197,2025-09-15,Cliente_046,Tablet,Celulares,Sul,3,1748.92
198,2025-08-21,Cliente_048,Smartphone,Celulares,Sul,3,2185.6
199,2025-11-02,Cliente_006,Headset,Perifericos,Norte,4,368.94
200,2025-03-18,Cliente_011,Teclado,Perifericos,Sudeste,4,255.45
